unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
PTP_TIME,T,Y15-20,AC0,LU,2010,11:59
TIME_SP,T,Y15-20,AC0,LU,2010,11:59
PTP_RT,F,Y15-20,AC0,NL,2010,99.8
PTP_TIME,F,Y15-20,AC0,NL,2010,12:00
TIME_SP,F,Y15-20,AC0,NL,2010,11:58
PTP_RT,M,Y15-20,AC0,NL,2010,100
PTP_TIME,M,Y15-20,AC0,NL,2010,11:32
TIME_SP,M,Y15-20,AC0,NL,2010,11:32
PTP_RT,T,Y15-20,AC0,NL,2010,99.9
PTP_TIME,T,Y15-20,AC0,NL,2010,11:46
TIME_SP,T,Y15-20,AC0,NL,2010,11:45
PTP_RT,F,Y15-20,AC0,NO,2010,100
PTP_TIME,F,Y15-20,AC0,NO,2010,11:19
TIME_SP,F,Y15-20,AC0,NO,2010,11:19
PTP_RT,M,Y15-20,AC0,NO,2010,100
PTP_TIME,M,Y15-20,AC0,NO,2010,10:39
TIME_SP,M,Y15-20,AC0,NO,2010,10:39
PTP_RT,T,Y15-20,AC0,NO,2010,100
PTP_TIME,T,Y15-20,AC0,NO,2010,10:59
TIME_SP,T,Y15-20,AC0,NO,2010,10:59
PTP_RT,F,Y15-20,AC0,PL,2010,100
PTP_TIME,F,Y15-20,AC0,PL,2010,11:36
TIME_SP,F,Y15-20,AC0,PL,2010,11:36
PTP_RT,M,Y15-20,AC0,PL,2010,100
PTP_TIME,M,Y15-20,AC0,PL,2010,11:25
TIME_SP,M,Y15-20,AC0,PL,2010,11:25
PTP_RT,T,Y15-20,AC0,PL,2010,100
PTP_TIME,T,Y15-20,AC0,PL,2010,11:30
TIME_SP,T,Y15-20,AC0,PL,2010,11:30
PTP_RT,F,Y15-20,AC0,RO,2010,100
PTP_TIME,F,Y15-20,AC0,RO,2010,12:16
TIME_SP,F,Y15-20,AC0,RO,2010,12:16
PTP_RT,M,Y15-20,AC0,RO,2010,100
PTP_TIME,M,Y15-20,AC0,RO,2010,12:09
TIME_SP,M,Y15-20,AC0,RO,2010,12:09
PTP_RT,T,Y15-20,AC0,RO,2010,100
PTP_TIME,T,Y15-20,AC0,RO,2010,12:12
TIME_SP,T,Y15-20,AC0,RO,2010,12:12
PTP_RT,F,Y15-20,AC0,RS,2010,100
PTP_TIME,F,Y15-20,AC0,RS,2010,11:46
TIME_SP,F,Y15-20,AC0,RS,2010,11:46
PTP_RT,M,Y15-20,AC0,RS,2010,100
PTP_TIME,M,Y15-20,AC0,RS,2010,11:11
TIME_SP,M,Y15-20,AC0,RS,2010,11:11
PTP_RT,T,Y15-20,AC0,RS,2010,100
PTP_TIME,T,Y15-20,AC0,RS,2010,11:29
TIME_SP,T,Y15-20,AC0,RS,2010,11:29
PTP_RT,F,Y15-20,AC0,TR,2010,100
PTP_TIME,F,Y15-20,AC0,TR,2010,11:58
TIME_SP,F,Y15-20,AC0,TR,2010,11:58
PTP_RT,M,Y15-20,AC0,TR,2010,100
PTP_TIME,M,Y15-20,AC0,TR,2010,11:51
TIME_SP,M,Y15-20,AC0,TR,2010,11:51
PTP_RT,T,Y15-20,AC0,TR,2010,100
PTP_TIME,T,Y15-20,AC0,TR,2010,11:55
TIME_SP,T,Y15-20,AC0,TR,2010,11:55
PTP_RT,F,Y15-20,AC0,UK,2010,99.2
PTP_TIME,F,Y15-20,AC0,UK,2010,11:43
TIME_SP,F,Y15-20,AC0,UK,2010,11:37
PTP_RT,M,Y15-20,AC0,UK,2010,99.6
PTP_TIME,M,Y15-20,AC0,UK,2010,11:17
TIME_SP,M,Y15-20,AC0,UK,2010,11:14
PTP_RT,T,Y15-20,AC0,UK,2010,99.4
PTP_TIME,T,Y15-20,AC0,UK,2010,11:31
TIME_SP,T,Y15-20,AC0,UK,2010,11:26
PTP_RT,F,Y20-24,AC0,AT,2010,100
PTP_TIME,F,Y20-24,AC0,AT,2010,10:16
TIME_SP,F,Y20-24,AC0,AT,2010,10:16
PTP_RT,M,Y20-24,AC0,AT,2010,99.8
PTP_TIME,M,Y20-24,AC0,AT,2010,10:13
TIME_SP,M,Y20-24,AC0,AT,2010,10:12
PTP_RT,T,Y20-24,AC0,AT,2010,99.9
PTP_TIME,T,Y20-24,AC0,AT,2010,10:14
TIME_SP,T,Y20-24,AC0,AT,2010,10:14
PTP_RT,F,Y20-24,AC0,BE,2000,100.0
PTP_RT,F,Y20-24,AC0,BE,2010,100
PTP_TIME,F,Y20-24,AC0,BE,2000,11:29
PTP_TIME,F,Y20-24,AC0,BE,2010,11:37
TIME_SP,F,Y20-24,AC0,BE,2000,11:29
TIME_SP,F,Y20-24,AC0,BE,2010,11:37
