unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
PTP_RT,M,Y25-44,AC0,ES,2000,100.0
PTP_TIME,M,Y25-44,AC0,ES,2000,10:49
TIME_SP,M,Y25-44,AC0,ES,2000,10:49
PTP_RT,T,Y25-44,AC0,ES,2000,100.0
PTP_TIME,T,Y25-44,AC0,ES,2000,10:48
TIME_SP,T,Y25-44,AC0,ES,2000,10:48
PTP_RT,F,Y25-44,AC0,FI,2000,100.0
PTP_TIME,F,Y25-44,AC0,FI,2000,10:29
TIME_SP,F,Y25-44,AC0,FI,2000,10:29
PTP_RT,M,Y25-44,AC0,FI,2000,99.9
PTP_TIME,M,Y25-44,AC0,FI,2000,10:12
TIME_SP,M,Y25-44,AC0,FI,2000,10:11
PTP_RT,T,Y25-44,AC0,FI,2000,100.0
PTP_TIME,T,Y25-44,AC0,FI,2000,10:21
TIME_SP,T,Y25-44,AC0,FI,2000,10:20
PTP_RT,F,Y25-44,AC0,FR,2000,100.0
PTP_TIME,F,Y25-44,AC0,FR,2000,11:41
TIME_SP,F,Y25-44,AC0,FR,2000,11:41
PTP_RT,M,Y25-44,AC0,FR,2000,100.0
PTP_TIME,M,Y25-44,AC0,FR,2000,11:28
TIME_SP,M,Y25-44,AC0,FR,2000,11:28
PTP_RT,T,Y25-44,AC0,FR,2000,100.0
PTP_TIME,T,Y25-44,AC0,FR,2000,11:34
TIME_SP,T,Y25-44,AC0,FR,2000,11:34
PTP_RT,F,Y25-44,AC0,IT,2000,100.0
PTP_TIME,F,Y25-44,AC0,IT,2000,11:00
TIME_SP,F,Y25-44,AC0,IT,2000,11:00
PTP_RT,M,Y25-44,AC0,IT,2000,100.0
PTP_TIME,M,Y25-44,AC0,IT,2000,10:58
TIME_SP,M,Y25-44,AC0,IT,2000,10:58
PTP_RT,T,Y25-44,AC0,IT,2000,100.0
PTP_TIME,T,Y25-44,AC0,IT,2000,10:59
TIME_SP,T,Y25-44,AC0,IT,2000,10:59
PTP_RT,F,Y25-44,AC0,LT,2000,100.0
PTP_TIME,F,Y25-44,AC0,LT,2000,10:39
TIME_SP,F,Y25-44,AC0,LT,2000,10:39
PTP_RT,M,Y25-44,AC0,LT,2000,100.0
PTP_TIME,M,Y25-44,AC0,LT,2000,10:36
TIME_SP,M,Y25-44,AC0,LT,2000,10:36
PTP_RT,T,Y25-44,AC0,LT,2000,100.0
PTP_TIME,T,Y25-44,AC0,LT,2000,10:38
TIME_SP,T,Y25-44,AC0,LT,2000,10:38
PTP_RT,F,Y25-44,AC0,LV,2000,100.0
PTP_TIME,F,Y25-44,AC0,LV,2000,10:33
TIME_SP,F,Y25-44,AC0,LV,2000,10:33
PTP_RT,M,Y25-44,AC0,LV,2000,100.0
PTP_TIME,M,Y25-44,AC0,LV,2000,10:36
TIME_SP,M,Y25-44,AC0,LV,2000,10:36
PTP_RT,T,Y25-44,AC0,LV,2000,100.0
PTP_TIME,T,Y25-44,AC0,LV,2000,10:34
TIME_SP,T,Y25-44,AC0,LV,2000,10:34
PTP_RT,F,Y25-44,AC0,NO,2000,100.0
PTP_TIME,F,Y25-44,AC0,NO,2000,10:13
TIME_SP,F,Y25-44,AC0,NO,2000,10:13
PTP_RT,M,Y25-44,AC0,NO,2000,100.0
PTP_TIME,M,Y25-44,AC0,NO,2000,9:54
TIME_SP,M,Y25-44,AC0,NO,2000,9:54
PTP_RT,T,Y25-44,AC0,NO,2000,100.0
PTP_TIME,T,Y25-44,AC0,NO,2000,10:03
TIME_SP,T,Y25-44,AC0,NO,2000,10:03
PTP_RT,F,Y25-44,AC0,PL,2000,100.0
PTP_TIME,F,Y25-44,AC0,PL,2000,10:37
TIME_SP,F,Y25-44,AC0,PL,2000,10:37
PTP_RT,M,Y25-44,AC0,PL,2000,100.0
PTP_TIME,M,Y25-44,AC0,PL,2000,10:19
TIME_SP,M,Y25-44,AC0,PL,2000,10:19
PTP_RT,T,Y25-44,AC0,PL,2000,100.0
PTP_TIME,T,Y25-44,AC0,PL,2000,10:28
TIME_SP,T,Y25-44,AC0,PL,2000,10:28
PTP_RT,F,Y25-44,AC0,SI,2000,100.0
PTP_TIME,F,Y25-44,AC0,SI,2000,10:14
TIME_SP,F,Y25-44,AC0,SI,2000,10:14
PTP_RT,M,Y25-44,AC0,SI,2000,100.0
PTP_TIME,M,Y25-44,AC0,SI,2000,10:10
TIME_SP,M,Y25-44,AC0,SI,2000,10:10
PTP_RT,T,Y25-44,AC0,SI,2000,100.0
PTP_TIME,T,Y25-44,AC0,SI,2000,10:12
TIME_SP,T,Y25-44,AC0,SI,2000,10:12
PTP_RT,F,Y25-44,AC0,UK,2000,100.0
PTP_TIME,F,Y25-44,AC0,UK,2000,10:36
TIME_SP,F,Y25-44,AC0,UK,2000,10:36
PTP_RT,M,Y25-44,AC0,UK,2000,100.0
PTP_TIME,M,Y25-44,AC0,UK,2000,10:10
TIME_SP,M,Y25-44,AC0,UK,2000,10:10
PTP_RT,T,Y25-44,AC0,UK,2000,100.0
PTP_TIME,T,Y25-44,AC0,UK,2000,10:23
TIME_SP,T,Y25-44,AC0,UK,2000,10:23
PTP_RT,F,Y45-64,AC0,BE,2000,100.0
PTP_TIME,F,Y45-64,AC0,BE,2000,11:12
TIME_SP,F,Y45-64,AC0,BE,2000,11:12
PTP_RT,M,Y45-64,AC0,BE,2000,100.0
PTP_TIME,M,Y45-64,AC0,BE,2000,10:38
TIME_SP,M,Y45-64,AC0,BE,2000,10:38
PTP_RT,T,Y45-64,AC0,BE,2000,100.0
PTP_TIME,T,Y45-64,AC0,BE,2000,10:55
TIME_SP,T,Y45-64,AC0,BE,2000,10:55
PTP_RT,F,Y45-64,AC0,BG,2000,100.0
PTP_TIME,F,Y45-64,AC0,BG,2000,11:27
TIME_SP,F,Y45-64,AC0,BG,2000,11:27
PTP_RT,M,Y45-64,AC0,BG,2000,100.0
PTP_TIME,M,Y45-64,AC0,BG,2000,11:48
TIME_SP,M,Y45-64,AC0,BG,2000,11:48
PTP_RT,T,Y45-64,AC0,BG,2000,100.0
PTP_TIME,T,Y45-64,AC0,BG,2000,11:37
TIME_SP,T,Y45-64,AC0,BG,2000,11:37
PTP_RT,F,Y45-64,AC0,DE,2000,100.0
PTP_TIME,F,Y45-64,AC0,DE,2000,11:03
TIME_SP,F,Y45-64,AC0,DE,2000,11:03
PTP_RT,M,Y45-64,AC0,DE,2000,99.8
PTP_TIME,M,Y45-64,AC0,DE,2000,10:46
TIME_SP,M,Y45-64,AC0,DE,2000,10:45
PTP_RT,T,Y45-64,AC0,DE,2000,99.9
PTP_TIME,T,Y45-64,AC0,DE,2000,10:55
TIME_SP,T,Y45-64,AC0,DE,2000,10:54
PTP_RT,F,Y45-64,AC0,EE,2000,100.0
PTP_TIME,F,Y45-64,AC0,EE,2000,10:24
TIME_SP,F,Y45-64,AC0,EE,2000,10:24
PTP_RT,M,Y45-64,AC0,EE,2000,100.0
PTP_TIME,M,Y45-64,AC0,EE,2000,10:36
TIME_SP,M,Y45-64,AC0,EE,2000,10:36
PTP_RT,T,Y45-64,AC0,EE,2000,100.0
PTP_TIME,T,Y45-64,AC0,EE,2000,10:29
TIME_SP,T,Y45-64,AC0,EE,2000,10:29
PTP_RT,F,Y45-64,AC0,ES,2000,100.0
PTP_TIME,F,Y45-64,AC0,ES,2000,11:03
TIME_SP,F,Y45-64,AC0,ES,2000,11:03
PTP_RT,M,Y45-64,AC0,ES,2000,100.0
PTP_TIME,M,Y45-64,AC0,ES,2000,11:12
TIME_SP,M,Y45-64,AC0,ES,2000,11:12
PTP_RT,T,Y45-64,AC0,ES,2000,100.0
PTP_TIME,T,Y45-64,AC0,ES,2000,11:07
TIME_SP,T,Y45-64,AC0,ES,2000,11:07
PTP_RT,F,Y45-64,AC0,FI,2000,100.0
PTP_TIME,F,Y45-64,AC0,FI,2000,10:29
TIME_SP,F,Y45-64,AC0,FI,2000,10:29
PTP_RT,M,Y45-64,AC0,FI,2000,100.0
PTP_TIME,M,Y45-64,AC0,FI,2000,10:17
TIME_SP,M,Y45-64,AC0,FI,2000,10:16
PTP_RT,T,Y45-64,AC0,FI,2000,100.0
PTP_TIME,T,Y45-64,AC0,FI,2000,10:23
TIME_SP,T,Y45-64,AC0,FI,2000,10:23
PTP_RT,F,Y45-64,AC0,FR,2000,100.0
PTP_TIME,F,Y45-64,AC0,FR,2000,11:51
TIME_SP,F,Y45-64,AC0,FR,2000,11:51
PTP_RT,M,Y45-64,AC0,FR,2000,100.0
PTP_TIME,M,Y45-64,AC0,FR,2000,11:42
TIME_SP,M,Y45-64,AC0,FR,2000,11:42
PTP_RT,T,Y45-64,AC0,FR,2000,100.0
PTP_TIME,T,Y45-64,AC0,FR,2000,11:46
TIME_SP,T,Y45-64,AC0,FR,2000,11:46
PTP_RT,F,Y45-64,AC0,IT,2000,100.0
PTP_TIME,F,Y45-64,AC0,IT,2000,11:02
TIME_SP,F,Y45-64,AC0,IT,2000,11:02
PTP_RT,M,Y45-64,AC0,IT,2000,100.0
PTP_TIME,M,Y45-64,AC0,IT,2000,11:13
TIME_SP,M,Y45-64,AC0,IT,2000,11:13
PTP_RT,T,Y45-64,AC0,IT,2000,100.0
PTP_TIME,T,Y45-64,AC0,IT,2000,11:07
TIME_SP,T,Y45-64,AC0,IT,2000,11:07
PTP_RT,F,Y45-64,AC0,LT,2000,100.0
PTP_TIME,F,Y45-64,AC0,LT,2000,10:42
TIME_SP,F,Y45-64,AC0,LT,2000,10:42
PTP_RT,M,Y45-64,AC0,LT,2000,100.0
PTP_TIME,M,Y45-64,AC0,LT,2000,10:52
TIME_SP,M,Y45-64,AC0,LT,2000,10:52
PTP_RT,T,Y45-64,AC0,LT,2000,100.0
PTP_TIME,T,Y45-64,AC0,LT,2000,10:46
TIME_SP,T,Y45-64,AC0,LT,2000,10:46
PTP_RT,F,Y45-64,AC0,LV,2000,100.0
PTP_TIME,F,Y45-64,AC0,LV,2000,10:46
TIME_SP,F,Y45-64,AC0,LV,2000,10:46
PTP_RT,M,Y45-64,AC0,LV,2000,100.0
PTP_TIME,M,Y45-64,AC0,LV,2000,10:41
TIME_SP,M,Y45-64,AC0,LV,2000,10:41
PTP_RT,T,Y45-64,AC0,LV,2000,100.0
PTP_TIME,T,Y45-64,AC0,LV,2000,10:44
TIME_SP,T,Y45-64,AC0,LV,2000,10:44
PTP_RT,F,Y45-64,AC0,NO,2000,100.0
PTP_TIME,F,Y45-64,AC0,NO,2000,10:25
TIME_SP,F,Y45-64,AC0,NO,2000,10:25
PTP_RT,M,Y45-64,AC0,NO,2000,100.0
